show_id,duration,type_id
s113,119 min,1
s114,110 min,1
s115,143 min,1
s116,119 min,1
s117,114 min,1
s118,94 min,1
s119,106 min,1
s120,99 min,1
s121,1 Season,2
s122,1 Season,2
s123,118 min,1
s124,1 Season,2
s125,3 Seasons,2
s126,1 Season,2
s127,115 min,1
s128,95 min,1
s129,115 min,1
s130,108 min,1
s131,63 min,1
s132,117 min,1
s133,1 Season,2
s134,121 min,1
s135,142 min,1
s136,113 min,1
s137,154 min,1
s138,95 min,1
s139,108 min,1
s140,120 min,1
s141,100 min,1
s142,82 min,1
s143,124 min,1
s144,114 min,1
s145,104 min,1
s146,94 min,1
s147,94 min,1
s148,1 Season,2
s149,1 Season,2
s150,93 min,1
s151,97 min,1
s152,109 min,1
s153,88 min,1
s154,2 Seasons,2
s155,3 Seasons,2
s156,101 min,1
s157,105 min,1
s158,102 min,1
s159,101 min,1
s160,103 min,1
s161,4 Seasons,2
s162,106 min,1
s163,118 min,1
s164,86 min,1
s165,121 min,1
s166,1 Season,2
s167,229 min,1
s168,76 min,1
s169,95 min,1
s170,98 min,1
s171,89 min,1
s172,120 min,1
s173,110 min,1
s174,83 min,1
s175,121 min,1
s176,105 min,1
s177,94 min,1
s178,156 min,1
s179,112 min,1
s180,95 min,1
s181,107 min,1
s182,1 Season,2
s183,114 min,1
s184,129 min,1
s185,1 Season,2
s186,86 min,1
s187,1 Season,2
s188,1 Season,2
s189,97 min,1
s190,2 Seasons,2
s191,125 min,1
s192,107 min,1
s193,127 min,1
s194,1 Season,2
s195,1 Season,2
s196,128 min,1
s197,92 min,1
s198,1 Season,2
s199,1 Season,2
s200,135 min,1
s201,124 min,1
s202,136 min,1
s203,165 min,1
s204,124 min,1
s205,136 min,1
s206,150 min,1
s207,112 min,1
s208,119 min,1
s209,133 min,1
s210,142 min,1
s211,93 min,1
s212,113 min,1
s213,2 Seasons,2
s214,3 Seasons,2
s215,124 min,1
s216,116 min,1
s217,106 min,1
s218,145 min,1
s219,1 Season,2
s220,1 Season,2
s221,4 Seasons,2
s222,93 min,1
s223,1 Season,2
s224,1 Season,2
s225,1 Season,2
s226,1 Season,2
s227,1 Season,2
s228,95 min,1
s229,108 min,1
s230,90 min,1
s231,86 min,1
s232,92 min,1
s233,3 Seasons,2
s234,82 min,1
s235,1 Season,2
s236,70 min,1
s237,122 min,1
s238,122 min,1
s239,122 min,1
s240,122 min,1
s241,84 min,1
s242,3 Seasons,2
s243,1 Season,2
s244,1 Season,2
s245,96 min,1
s246,1 Season,2
s247,115 min,1
s248,110 min,1
s249,1 Season,2
s250,88 min,1
s251,102 min,1
s252,91 min,1
s253,105 min,1
s254,135 min,1
s255,5 Seasons,2
s256,86 min,1
s257,140 min,1
s258,133 min,1
s259,92 min,1
s260,82 min,1
s261,1 Season,2
s262,97 min,1
s263,78 min,1
s264,2 Seasons,2
s265,94 min,1
s266,1 Season,2
s267,1 Season,2
s268,121 min,1
s269,97 min,1
s270,2 Seasons,2
s271,110 min,1
s272,1 Season,2
s273,5 Seasons,2
s274,1 Season,2
s275,7 Seasons,2
s276,1 Season,2
s277,2 Seasons,2
s278,1 Season,2
s279,64 min,1
s280,59 min,1
s281,1 Season,2
s282,101 min,1
s283,127 min,1
s284,90 min,1
s285,114 min,1
s286,108 min,1
s287,2 Seasons,2
s288,1 Season,2
s289,1 Season,2
s290,1 Season,2
s291,70 min,1
s292,1 Season,2
s293,98 min,1
s294,86 min,1
s295,139 min,1
s296,111 min,1
s297,1 Season,2
s298,1 Season,2
s299,115 min,1
s300,102 min,1
s301,100 min,1
s302,135 min,1
s303,69 min,1
s304,95 min,1
s305,97 min,1
s306,124 min,1
s307,118 min,1
s308,115 min,1
s309,115 min,1
s310,3 Seasons,2
s311,1 Season,2
s312,2 Seasons,2
s313,1 Season,2
s314,1 Season,2
s315,104 min,1
s316,106 min,1
s317,1 Season,2
s318,102 min,1
s319,97 min,1
s320,1 Season,2
s321,1 Season,2
s322,1 Season,2
s323,1 Season,2
s324,7 Seasons,2
s325,3 Seasons,2
s326,87 min,1
s327,88 min,1
s328,114 min,1
s329,90 min,1
s330,142 min,1
s331,90 min,1
s332,1 Season,2
s333,105 min,1
s334,103 min,1
s335,116 min,1
s336,113 min,1
s337,5 Seasons,2
s338,99 min,1
s339,6 Seasons,2
s340,96 min,1
s341,148 min,1
s342,189 min,1
s343,97 min,1
s344,102 min,1
s345,99 min,1
s346,85 min,1
s347,112 min,1
s348,91 min,1
s349,91 min,1
s350,141 min,1
s351,130 min,1
s352,98 min,1
s353,105 min,1
s354,101 min,1
s355,105 min,1
s356,118 min,1
s357,97 min,1
s358,102 min,1
s359,114 min,1
s360,111 min,1
s361,125 min,1
s362,3 Seasons,2
s363,76 min,1
s364,118 min,1
s365,1 Season,2
s366,103 min,1
s367,3 Seasons,2
s368,114 min,1
s369,1 Season,2
s370,1 Season,2
s371,2 Seasons,2
s372,95 min,1
s373,138 min,1
s374,112 min,1
s375,94 min,1
s376,102 min,1
s377,1 Season,2
s378,92 min,1
s379,81 min,1
s380,1 Season,2
s381,7 Seasons,2
s382,1 Season,2
s383,3 Seasons,2
s384,143 min,1
s385,86 min,1
s386,3 Seasons,2
s387,4 Seasons,2
s388,132 min,1
s389,1 Season,2
s390,117 min,1
s391,10 Seasons,2
s392,4 Seasons,2
s393,165 min,1
s394,91 min,1
s395,97 min,1
s396,97 min,1
s397,123 min,1
s398,1 Season,2
s399,94 min,1
s400,1 Season,2
s401,1 Season,2
s402,2 Seasons,2
s403,111 min,1
s404,2 Seasons,2
s405,85 min,1
s406,65 min,1
s407,64 min,1
s408,68 min,1
s409,67 min,1
s410,66 min,1
s411,64 min,1
s412,64 min,1
s413,65 min,1
s414,64 min,1
s415,68 min,1
s416,68 min,1
s417,64 min,1
s418,62 min,1
s419,63 min,1
s420,69 min,1
s421,70 min,1
s422,63 min,1
s423,68 min,1
s424,74 min,1
s425,68 min,1
s426,5 Seasons,2
s427,99 min,1
s428,90 min,1
s429,87 min,1
s430,105 min,1
s431,1 Season,2
s432,1 Season,2
s433,106 min,1
s434,102 min,1
s435,1 Season,2
s436,1 Season,2
s437,91 min,1
s438,88 min,1
s439,107 min,1
s440,101 min,1
s441,3 Seasons,2
s442,114 min,1
s443,1 Season,2
s444,123 min,1
s445,1 Season,2
s446,94 min,1
s447,105 min,1
s448,117 min,1
s449,115 min,1
s450,124 min,1
s451,131 min,1
s452,122 min,1
s453,113 min,1
s454,2 Seasons,2
s455,91 min,1
s456,100 min,1
s457,1 Season,2
s458,93 min,1
s459,90 min,1
s460,2 Seasons,2
s461,86 min,1
s462,100 min,1
s463,96 min,1
s464,95 min,1
s465,115 min,1
s466,1 Season,2
s467,1 Season,2
s468,100 min,1
s469,102 min,1
s470,87 min,1
s471,39 min,1
s472,110 min,1
s473,1 Season,2
s474,93 min,1
s475,96 min,1
s476,93 min,1
s477,93 min,1
s478,4 Seasons,2
s479,2 Seasons,2
s480,111 min,1
s481,105 min,1
s482,101 min,1
s483,1 Season,2
s484,102 min,1
s485,46 min,1
s486,89 min,1
s487,94 min,1
s488,1 Season,2
s489,3 Seasons,2
s490,104 min,1
s491,1 Season,2
s492,97 min,1
s493,91 min,1
s494,1 Season,2
s495,106 min,1
s496,38 min,1
s497,90 min,1
s498,1 Season,2
s499,87 min,1
s500,2 Seasons,2
s501,138 min,1
s502,105 min,1
s503,104 min,1
s504,2 Seasons,2
s505,1 Season,2
s506,85 min,1
s507,92 min,1
s508,108 min,1
s509,95 min,1
s510,3 Seasons,2
s511,2 Seasons,2
s512,2 Seasons,2
s513,4 Seasons,2
s514,3 Seasons,2
s515,5 Seasons,2
s516,2 Seasons,2
s517,2 Seasons,2
s518,2 Seasons,2
s519,105 min,1
s520,2 Seasons,2
s521,2 Seasons,2
s522,5 Seasons,2
s523,3 Seasons,2
s524,3 Seasons,2
s525,2 Seasons,2
s526,8 Seasons,2
s527,7 Seasons,2
s528,2 Seasons,2
s529,116 min,1
s530,124 min,1
s531,2 Seasons,2
s532,101 min,1
s533,3 Seasons,2
s534,3 Seasons,2
s535,95 min,1
s536,2 Seasons,2
s537,3 Seasons,2
s538,6 Seasons,2
s539,2 Seasons,2
s540,2 Seasons,2
s541,4 Seasons,2
s542,128 min,1
s543,143 min,1
s544,2 Seasons,2
s545,5 Seasons,2
s546,3 Seasons,2
s547,1 Season,2
s548,1 Season,2
s549,17 Seasons,2
s550,1 Season,2
s551,107 min,1
s552,136 min,1
s553,94 min,1
s554,2 Seasons,2
s555,136 min,1
s556,126 min,1
s557,116 min,1
s558,100 min,1
s559,115 min,1
s560,125 min,1
s561,39 min,1
s562,94 min,1
s563,90 min,1
s564,95 min,1
s565,155 min,1
s566,1 Season,2
s567,98 min,1
s568,108 min,1
s569,96 min,1
s570,117 min,1
s571,118 min,1
s572,1 Season,2
s573,103 min,1
s574,94 min,1
s575,93 min,1
s576,115 min,1
s577,120 min,1
s578,1 Season,2
s579,145 min,1
s580,126 min,1
s581,96 min,1
s582,101 min,1
s583,118 min,1
s584,109 min,1
s585,89 min,1
s586,106 min,1
s587,101 min,1
s588,1 Season,2
s589,1 Season,2
s590,101 min,1
s591,3 Seasons,2
s592,123 min,1
s593,106 min,1
s594,89 min,1
s595,128 min,1
s596,85 min,1
s597,89 min,1
s598,108 min,1
s599,105 min,1
s600,133 min,1
s601,129 min,1
s602,127 min,1
s603,113 min,1
s604,112 min,1
s605,130 min,1
s606,100 min,1
s607,103 min,1
s608,85 min,1
s609,124 min,1
s610,103 min,1
s611,121 min,1
s612,89 min,1
s613,92 min,1
s614,112 min,1
s615,114 min,1
s616,116 min,1
s617,110 min,1
s618,1 Season,2
s619,98 min,1
s620,98 min,1
s621,1 Season,2
s622,1 Season,2
s623,100 min,1
s624,90 min,1
s625,92 min,1
s626,1 Season,2
s627,1 Season,2
s628,1 Season,2
s629,4 Seasons,2
s630,82 min,1
s631,97 min,1
s632,5 Seasons,2
s633,90 min,1
s634,76 min,1
s635,83 min,1
s636,101 min,1
s637,109 min,1
s638,1 Season,2
s639,1 Season,2
s640,1 Season,2
s641,1 Season,2
s642,97 min,1
s643,2 Seasons,2
s644,87 min,1
s645,94 min,1
s646,89 min,1
s647,88 min,1
s648,1 Season,2
s649,2 Seasons,2
s650,108 min,1
s651,96 min,1
s652,84 min,1
s653,70 min,1
s654,1 Season,2
s655,125 min,1
s656,119 min,1
s657,105 min,1
s658,2 Seasons,2
s659,1 Season,2
s660,1 Season,2
s661,4 Seasons,2
s662,4 Seasons,2
s663,1 Season,2
s664,1 Season,2
s665,2 Seasons,2
s666,2 Seasons,2
s667,1 Season,2
s668,6 Seasons,2
s669,3 Seasons,2
s670,5 Seasons,2
s671,133 min,1
s672,140 min,1
s673,120 min,1
s674,1 Season,2
s675,2 Seasons,2
s676,1 Season,2
s677,4 Seasons,2
s678,6 Seasons,2
s679,1 Season,2
s680,1 Season,2
s681,1 Season,2
s682,1 Season,2
s683,1 Season,2
s684,135 min,1
s685,4 Seasons,2
s686,111 min,1
s687,2 Seasons,2
s688,159 min,1
s689,119 min,1
s690,139 min,1
s691,137 min,1
s692,1 Season,2
s693,1 Season,2
s694,101 min,1
s695,13 min,1
s696,12 min,1
s697,2 Seasons,2
s698,1 Season,2
s699,101 min,1
s700,1 Season,2
s701,1 Season,2
s702,96 min,1
s703,122 min,1
s704,3 Seasons,2
s705,95 min,1
s706,89 min,1
s707,1 Season,2
s708,1 Season,2
s709,98 min,1
s710,3 Seasons,2
s711,1 Season,2
s712,119 min,1
s713,138 min,1
s714,1 Season,2
s715,1 Season,2
s716,1 Season,2
s717,104 min,1
s718,273 min,1
s719,101 min,1
s720,1 Season,2
s721,2 Seasons,2
s722,99 min,1
s723,84 min,1
s724,1 Season,2
s725,82 min,1
s726,1 Season,2
s727,1 Season,2
s728,97 min,1
s729,89 min,1
s730,36 min,1
s731,34 min,1
s732,2 Seasons,2
s733,36 min,1
s734,2 Seasons,2
s735,2 Seasons,2
s736,113 min,1
s737,110 min,1
s738,1 Season,2
s739,36 min,1
s740,102 min,1
s741,86 min,1
s742,91 min,1
s743,117 min,1
s744,99 min,1
s745,1 Season,2
s746,77 min,1
s747,97 min,1
s748,106 min,1
s749,1 Season,2
s750,2 Seasons,2
s751,97 min,1
s752,2 Seasons,2
s753,104 min,1
s754,1 Season,2
s755,110 min,1
s756,61 min,1
s757,98 min,1
s758,74 min,1
s759,2 Seasons,2
s760,60 min,1
s761,60 min,1
s762,1 Season,2
s763,103 min,1
s764,1 Season,2
s765,94 min,1
s766,112 min,1
s767,49 min,1
s768,1 Season,2
s769,111 min,1
s770,58 min,1
s771,72 min,1
s772,1 Season,2
s773,2 Seasons,2
s774,78 min,1
s775,101 min,1
s776,110 min,1
s777,94 min,1
s778,70 min,1
s779,1 Season,2
s780,118 min,1
s781,2 Seasons,2
s782,99 min,1
s783,103 min,1
s784,95 min,1
s785,93 min,1
s786,3 Seasons,2
s787,101 min,1
s788,101 min,1
s789,89 min,1
s790,6 Seasons,2
s791,109 min,1
s792,104 min,1
s793,90 min,1
s794,109 min,1
s795,145 min,1
s796,3 Seasons,2
s797,88 min,1
s798,132 min,1
s799,109 min,1
s800,133 min,1
s801,85 min,1
s802,104 min,1
s803,99 min,1
s804,1 Season,2
s805,93 min,1
s806,1 Season,2
s807,204 min,1
s808,212 min,1
s809,98 min,1
s810,101 min,1
s811,94 min,1
s812,25 min,1
s813,99 min,1
s814,1 Season,2
s815,108 min,1
s816,106 min,1
s817,128 min,1
s818,104 min,1
s819,127 min,1
s820,136 min,1
s821,3 Seasons,2
s822,97 min,1
s823,88 min,1
s824,97 min,1
s825,97 min,1
s826,2 Seasons,2
s827,88 min,1
s828,103 min,1
s829,97 min,1
s830,88 min,1
s831,3 Seasons,2
s832,2 Seasons,2
s833,1 Season,2
s834,1 Season,2
s835,97 min,1
s836,1 Season,2
s837,118 min,1
s838,2 Seasons,2
s839,70 min,1
s840,91 min,1
s841,92 min,1
s842,120 min,1
s843,1 Season,2
s844,3 Seasons,2
s845,73 min,1
s846,110 min,1
s847,94 min,1
s848,1 Season,2
s849,3 Seasons,2
s850,61 min,1
s851,131 min,1
s852,131 min,1
s853,131 min,1
s854,148 min,1
s855,29 min,1
s856,3 Seasons,2
s857,107 min,1
s858,2 Seasons,2
s859,99 min,1
s860,92 min,1
s861,91 min,1
s862,47 min,1
s863,2 Seasons,2
s864,88 min,1
s865,116 min,1
s866,109 min,1
s867,92 min,1
s868,87 min,1
s869,1 Season,2
s870,2 Seasons,2
s871,101 min,1
s872,140 min,1
s873,89 min,1
s874,81 min,1
s875,1 Season,2
s876,116 min,1
s877,1 Season,2
s878,99 min,1
s879,107 min,1
s880,1 Season,2
s881,3 Seasons,2
s882,107 min,1
s883,90 min,1
s884,2 Seasons,2
s885,1 Season,2
s886,104 min,1
s887,1 Season,2
s888,100 min,1
s889,32 min,1
s890,102 min,1
s891,4 Seasons,2
s892,105 min,1
s893,107 min,1
s894,64 min,1
s895,99 min,1
s896,102 min,1
s897,1 Season,2
s898,1 Season,2
s899,126 min,1
s900,119 min,1
s901,1 Season,2
s902,86 min,1
s903,1 Season,2
s904,122 min,1
s905,95 min,1
s906,104 min,1
s907,118 min,1
s908,85 min,1
s909,1 Season,2
s910,98 min,1
s911,99 min,1
s912,2 Seasons,2
s913,35 min,1
s914,107 min,1
s915,97 min,1
s916,112 min,1
s917,118 min,1
s918,109 min,1
s919,1 Season,2
s920,1 Season,2
s921,2 Seasons,2
s922,3 Seasons,2
s923,109 min,1
s924,2 Seasons,2
s925,88 min,1
s926,2 Seasons,2
s927,97 min,1
s928,2 Seasons,2
s929,97 min,1
s930,99 min,1
s931,95 min,1
s932,91 min,1
s933,115 min,1
s934,93 min,1
s935,109 min,1
s936,96 min,1
s937,1 Season,2
s938,78 min,1
s939,87 min,1
s940,76 min,1
s941,76 min,1
s942,71 min,1
s943,138 min,1
s944,113 min,1
s945,94 min,1
s946,89 min,1
s947,121 min,1
s948,127 min,1
s949,94 min,1
s950,89 min,1
s951,136 min,1
s952,89 min,1
s953,99 min,1
s954,93 min,1
s955,85 min,1
s956,102 min,1
s957,101 min,1
s958,1 Season,2
s959,113 min,1
s960,128 min,1
s961,1 Season,2
s962,114 min,1
s963,85 min,1
s964,2 Seasons,2
s965,121 min,1
s966,1 Season,2
s967,95 min,1
s968,1 Season,2
s969,1 Season,2
s970,121 min,1
s971,116 min,1
s972,91 min,1
s973,1 Season,2
s974,149 min,1
s975,113 min,1
s976,33 min,1
s977,127 min,1
s978,101 min,1
s979,102 min,1
s980,102 min,1
s981,107 min,1
s982,123 min,1
s983,98 min,1
s984,95 min,1
s985,101 min,1
s986,104 min,1
s987,104 min,1
s988,103 min,1
s989,1 Season,2
s990,111 min,1
s991,102 min,1
s992,15 min,1
s993,54 min,1
s994,1 Season,2
s995,120 min,1
s996,106 min,1
s997,116 min,1
s998,1 Season,2
s999,58 min,1
s1000,116 min,1
s1001,126 min,1
s1002,86 min,1
s1003,97 min,1
s1004,1 Season,2
s1005,2 Seasons,2
s1006,76 min,1
s1007,80 min,1
s1008,81 min,1
s1009,84 min,1
s1010,87 min,1
s1011,91 min,1
s1012,76 min,1
s1013,2 Seasons,2
s1014,132 min,1
s1015,3 Seasons,2
s1016,126 min,1
s1017,101 min,1
s1018,102 min,1
s1019,147 min,1
s1020,224 min,1
s1021,141 min,1
s1022,109 min,1
s1023,162 min,1
s1024,142 min,1
s1025,93 min,1
s1026,1 Season,2
s1027,60 min,1
s1028,119 min,1
s1029,37 min,1
s1030,96 min,1
s1031,116 min,1
s1032,102 min,1
s1033,1 Season,2
s1034,123 min,1
s1035,102 min,1
s1036,127 min,1
s1037,88 min,1
s1038,106 min,1
s1039,1 Season,2
s1040,65 min,1
s1041,1 Season,2
s1042,96 min,1
s1043,1 Season,2
s1044,7 Seasons,2
s1045,1 Season,2
s1046,1 Season,2
s1047,88 min,1
s1048,1 Season,2
s1049,3 Seasons,2
s1050,1 Season,2
s1051,143 min,1
s1052,2 Seasons,2
s1053,137 min,1
s1054,75 min,1
s1055,71 min,1
s1056,103 min,1
s1057,1 Season,2
s1058,1 Season,2
s1059,1 Season,2
s1060,6 Seasons,2
s1061,1 Season,2
s1062,1 Season,2
s1063,1 Season,2
s1064,1 Season,2
s1065,1 Season,2
s1066,3 Seasons,2
s1067,130 min,1
s1068,1 Season,2
s1069,1 Season,2
s1070,145 min,1
s1071,84 min,1
s1072,84 min,1
s1073,77 min,1
s1074,86 min,1
s1075,79 min,1
s1076,1 Season,2
s1077,80 min,1
s1078,81 min,1
s1079,78 min,1
s1080,1 Season,2
s1081,118 min,1
s1082,4 Seasons,2
s1083,1 Season,2
s1084,102 min,1
s1085,1 Season,2
s1086,132 min,1
s1087,108 min,1
s1088,133 min,1
s1089,107 min,1
s1090,32 min,1
s1091,78 min,1
s1092,1 Season,2
s1093,55 min,1
s1094,2 Seasons,2
s1095,1 Season,2
s1096,1 Season,2
s1097,92 min,1
s1098,86 min,1
s1099,140 min,1
s1100,143 min,1
s1101,88 min,1
s1102,89 min,1
s1103,93 min,1
s1104,97 min,1
s1105,94 min,1
s1106,112 min,1
s1107,100 min,1
s1108,120 min,1
s1109,91 min,1
s1110,98 min,1
s1111,113 min,1
s1112,98 min,1
s1113,91 min,1
s1114,158 min,1
s1115,164 min,1
s1116,133 min,1
s1117,1 Season,2
s1118,75 min,1
s1119,103 min,1
s1120,90 min,1
s1121,116 min,1
s1122,96 min,1
s1123,121 min,1
s1124,2 Seasons,2
s1125,101 min,1
s1126,2 Seasons,2
s1127,173 min,1
s1128,2 Seasons,2
s1129,89 min,1
s1130,2 Seasons,2
s1131,182 min,1
s1132,181 min,1
s1133,185 min,1
s1134,99 min,1
s1135,88 min,1
s1136,107 min,1
s1137,114 min,1
s1138,96 min,1
s1139,149 min,1
s1140,102 min,1
s1141,83 min,1
s1142,98 min,1
s1143,83 min,1
s1144,1 Season,2
s1145,104 min,1
s1146,111 min,1
s1147,1 Season,2
s1148,98 min,1
s1149,2 Seasons,2
s1150,1 Season,2
s1151,93 min,1
s1152,73 min,1
s1153,1 Season,2
s1154,141 min,1
s1155,116 min,1
s1156,21 min,1
s1157,98 min,1
s1158,87 min,1
s1159,4 Seasons,2
s1160,87 min,1
s1161,95 min,1
s1162,87 min,1
s1163,93 min,1
s1164,1 Season,2
s1165,97 min,1
s1166,114 min,1
s1167,1 Season,2
s1168,100 min,1
s1169,1 Season,2
s1170,1 Season,2
s1171,105 min,1
s1172,90 min,1
s1173,60 min,1
s1174,6 Seasons,2
s1175,1 Season,2
s1176,98 min,1
s1177,108 min,1
s1178,90 min,1
s1179,102 min,1
s1180,4 Seasons,2
s1181,2 Seasons,2
s1182,1 Season,2
s1183,3 Seasons,2
s1184,84 min,1
s1185,120 min,1
s1186,106 min,1
s1187,2 Seasons,2
s1188,115 min,1
s1189,98 min,1
s1190,60 min,1
s1191,113 min,1
s1192,101 min,1
s1193,24 min,1
s1194,51 min,1
s1195,80 min,1
s1196,100 min,1
s1197,1 Season,2
s1198,139 min,1
s1199,74 min,1
s1200,131 min,1
s1201,1 Season,2
s1202,1 Season,2
s1203,131 min,1
s1204,118 min,1
s1205,87 min,1
s1206,1 Season,2
s1207,1 Season,2
s1208,101 min,1
s1209,97 min,1
s1210,92 min,1
s1211,2 Seasons,2
s1212,136 min,1
s1213,97 min,1
s1214,3 Seasons,2
s1215,103 min,1
s1216,110 min,1
s1217,105 min,1
s1218,1 Season,2
s1219,90 min,1
s1220,107 min,1
s1221,92 min,1
s1222,94 min,1
s1223,99 min,1
s1224,1 Season,2
s1225,1 Season,2
s1226,1 Season,2
s1227,1 Season,2
s1228,1 Season,2
s1229,97 min,1
s1230,1 Season,2
s1231,151 min,1
s1232,1 Season,2
s1233,108 min,1
s1234,113 min,1
s1235,1 Season,2
s1236,4 Seasons,2
s1237,81 min,1
s1238,116 min,1
s1239,1 Season,2
s1240,119 min,1
s1241,116 min,1
s1242,112 min,1
s1243,1 Season,2
s1244,121 min,1
s1245,115 min,1
s1246,5 Seasons,2
s1247,1 Season,2
s1248,182 min,1
s1249,98 min,1
s1250,96 min,1
s1251,42 min,1
s1252,181 min,1
s1253,100 min,1
s1254,22 min,1
s1255,134 min,1
s1256,177 min,1
s1257,94 min,1
s1258,1 Season,2
s1259,88 min,1
s1260,119 min,1
s1261,107 min,1
s1262,112 min,1
s1263,35 min,1
s1264,103 min,1
s1265,90 min,1
s1266,120 min,1
s1267,97 min,1
s1268,102 min,1
s1269,1 Season,2
s1270,106 min,1
s1271,3 Seasons,2
s1272,1 Season,2
s1273,1 Season,2
s1274,119 min,1
s1275,1 Season,2
s1276,1 Season,2
s1277,84 min,1
s1278,2 Seasons,2
s1279,58 min,1
s1280,90 min,1
s1281,109 min,1
s1282,143 min,1
s1283,1 Season,2
s1284,112 min,1
s1285,134 min,1
s1286,1 Season,2
s1287,123 min,1
s1288,36 min,1
s1289,123 min,1
s1290,58 min,1
s1291,118 min,1
s1292,91 min,1
s1293,76 min,1
s1294,1 Season,2
s1295,1 Season,2
s1296,97 min,1
s1297,1 Season,2
s1298,85 min,1
s1299,1 Season,2
s1300,1 Season,2
s1301,1 Season,2
s1302,1 Season,2
s1303,4 Seasons,2
s1304,92 min,1
s1305,139 min,1
s1306,162 min,1
s1307,3 Seasons,2
s1308,92 min,1
s1309,4 Seasons,2
s1310,86 min,1
s1311,1 Season,2
s1312,107 min,1
s1313,85 min,1
s1314,1 Season,2
s1315,2 Seasons,2
s1316,83 min,1
s1317,104 min,1
s1318,1 Season,2
s1319,116 min,1
s1320,87 min,1
s1321,1 Season,2
s1322,1 Season,2
s1323,91 min,1
s1324,119 min,1
s1325,102 min,1
s1326,86 min,1
s1327,102 min,1
s1328,98 min,1
s1329,1 Season,2
s1330,99 min,1
s1331,108 min,1
s1332,1 Season,2
s1333,2 Seasons,2
s1334,114 min,1
s1335,104 min,1
s1336,3 Seasons,2
s1337,88 min,1
s1338,104 min,1
s1339,2 Seasons,2
s1340,1 Season,2
s1341,123 min,1
s1342,106 min,1
s1343,138 min,1
s1344,113 min,1
s1345,107 min,1
s1346,133 min,1
s1347,97 min,1
s1348,116 min,1
s1349,1 Season,2
s1350,1 Season,2
s1351,2 Seasons,2
s1352,123 min,1
s1353,2 Seasons,2
s1354,89 min,1
s1355,13 Seasons,2
s1356,1 Season,2
s1357,1 Season,2
s1358,93 min,1
s1359,139 min,1
s1360,112 min,1
s1361,1 Season,2
s1362,1 Season,2
s1363,7 Seasons,2
s1364,2 Seasons,2
s1365,101 min,1
s1366,2 Seasons,2
s1367,113 min,1
s1368,89 min,1
s1369,107 min,1
s1370,123 min,1
s1371,113 min,1
s1372,1 Season,2
s1373,90 min,1
s1374,1 Season,2
s1375,52 min,1
s1376,2 Seasons,2
s1377,127 min,1
s1378,4 Seasons,2
s1379,95 min,1
s1380,121 min,1
s1381,1 Season,2
s1382,108 min,1
s1383,102 min,1
s1384,2 Seasons,2
s1385,3 Seasons,2
s1386,1 Season,2
s1387,95 min,1
s1388,133 min,1
s1389,127 min,1
s1390,95 min,1
s1391,101 min,1
s1392,123 min,1
s1393,1 Season,2
s1394,89 min,1
s1395,1 Season,2
s1396,4 Seasons,2
s1397,100 min,1
s1398,108 min,1
s1399,94 min,1
s1400,103 min,1
s1401,1 Season,2
s1402,4 Seasons,2
s1403,3 Seasons,2
s1404,105 min,1
s1405,3 Seasons,2
s1406,116 min,1
s1407,92 min,1
s1408,65 min,1
